139	0.0638s	6967	6967
140	0.0679s	6964	6964
141	0.0727s	6963	6963
142	0.0687s	7026	7026
143	0.0742s	7069	7069
144	0.0776s	7123	7123
145	0.0777s	7209	7209
146	0.0730s	7479	7479
147	0.0918s	7502	7502
148	0.0786s	7495	7495
149	0.0734s	7585	7585
150	0.0735s	7655	7655
151	0.0728s	7878	7878
152	0.0722s	8307	8307
153	0.0675s	8699	8699
154	0.0720s	9232	9232
155	0.0716s	9183	9183
156	0.0731s	9081	9081
157	0.0680s	9035	9035
158	0.0771s	9101	9101
159	0.0742s	9338	9338
160	0.0741s	9389	9389
161	0.0747s	9409	9409
162	0.0792s	9433	9433
163	0.0739s	9419	9419
164	0.0735s	9430	9430
165	0.0730s	9414	9414
166	0.0818s	9226	9226
167	0.0723s	9030	9030
168	0.0761s	8965	8965
169	0.0859s	8879	8879
170	0.0779s	8821	8821
171	0.0819s	8777	8777
172	0.0781s	8780	8780
173	0.0863s	8754	8754
174	0.0774s	8730	8730
175	0.0760s	8702	8702
176	0.0753s	8674	8674
177	0.0799s	8635	8635
178	0.0801s	8601	8601
179	0.0734s	8559	8559
180	0.0815s	8520	8520
181	0.0873s	8473	8473
182	0.0787s	8441	8441
183	0.0863s	8409	8409
184	0.0818s	8395	8395
185	0.0802s	8368	8368
186	0.0909s	8350	8350
187	0.0789s	8337	8337
188	0.0800s	8306	8306
189	0.0815s	8296	8296
190	0.0807s	8279	8279
191	0.0920s	8276	8276
192	0.0821s	8259	8259
193	0.0903s	8246	8246
194	0.0831s	8246	8246
195	0.0812s	8237	8237
196	31.0804s	13893	18347
197	0.0861s	13632	13632
198	0.0840s	13413	13413
199	0.0900s	13320	13320
200	0.0923s	13134	13134
201	0.1006s	12951	12951
202	0.1018s	12732	12732
203	0.0932s	12541	12541
204	0.0931s	12455	12455
205	0.1106s	12283	12283
